Ax,Ay,Az,Gx,Gy,Gz,Temp_C
0.025146484375,-0.016845703125,-1.004150390625,-0.1220703125,0.18310546875,0.02197265625,-0.019775390625
-0.02099609375,-1.003662109375,-0.06103515625,0.244140625,0.028564453125,-0.01611328125,-0.019775390625
-1.003173828125,0.0,0.18310546875,0.014892578125,-0.01220703125,-0.9462890625,-0.019775390625
-0.42724609375,0.244140625,0.02392578125,-0.0185546875,-1.00439453125,-0.06103515625,-0.019775390625
0.30517578125,0.021728515625,-0.015380859375,-1.005859375,-0.06103515625,0.06103515625,-0.019775390625
0.01025390625,-0.021728515625,-1.00341796875,-0.1220703125,0.18310546875,0.01953125,-0.019775390625
-0.019287109375,-1.0048828125,-0.18310546875,0.18310546875,0.0185546875,-0.01904296875,-0.019775390625
-1.0029296875,0.1220703125,0.06103515625,0.019287109375,-0.022216796875,-1.005126953125,-0.019775390625
-0.06103515625,0.1220703125,0.02099609375,-0.0146484375,-1.00537109375,0.0,-0.019775390625
0.06103515625,0.021240234375,-0.017333984375,-1.00439453125,0.18310546875,0.244140625,-0.019775390625
0.02099609375,-0.018798828125,-1.004150390625,-0.1220703125,0.18310546875,0.0224609375,-0.019775390625
-0.021240234375,-1.004150390625,0.06103515625,0.18310546875,0.0205078125,-0.019775390625,-0.019775390625
-1.003662109375,-0.06103515625,0.06103515625,0.02197265625,-0.01953125,-1.003662109375,-0.019775390625
-0.06103515625,0.18310546875,0.021240234375,-0.019287109375,-1.00390625,-0.06103515625,-0.019775390625
0.0,0.0185546875,-0.0234375,-1.000732421875,-0.18310546875,0.18310546875,-0.019775390625
0.0224609375,-0.01806640625,-1.005859375,0.0,0.18310546875,0.0224609375,-0.019775390625
-0.018310546875,-1.006591796875,-0.06103515625,0.18310546875,0.021728515625,-0.0185546875,-0.019775390625
-1.002197265625,-0.06103515625,0.0,0.020263671875,-0.018798828125,-0.999755859375,-0.019775390625
0.06103515625,0.18310546875,0.019287109375,-0.020263671875,-1.00341796875,0.06103515625,-0.019775390625
0.244140625,0.022705078125,-0.0185546875,-1.00537109375,-0.06103515625,0.06103515625,-0.019775390625
0.021728515625,-0.01953125,-1.003173828125,-0.1220703125,0.1220703125,0.021728515625,-0.019775390625
-0.0185546875,-1.002685546875,-0.06103515625,0.06103515625,0.0244140625,-0.02001953125,-0.019775390625
-1.006103515625,0.06103515625,0.06103515625,0.022216796875,-0.01904296875,-1.003662109375,-0.019775390625
-0.18310546875,0.1220703125,0.022216796875,-0.01953125,-1.0048828125,-0.06103515625,-0.019775390625
0.1220703125,0.02001953125,-0.020751953125,-1.00439453125,-0.06103515625,0.18310546875,-0.019775390625
0.017822265625,-0.020751953125,-1.0029296875,-0.1220703125,0.18310546875,0.022705078125,-0.019775390625
-0.019287109375,-1.00439453125,-0.06103515625,0.18310546875,0.02099609375,-0.019287109375,-0.019775390625
-1.00439453125,-0.06103515625,0.18310546875,0.018798828125,-0.01953125,-1.003173828125,-0.019775390625
-0.06103515625,0.06103515625,0.02001953125,-0.018798828125,-1.004638671875,0.0,-0.019775390625
0.18310546875,0.0205078125,-0.021240234375,-1.0048828125,0.0,0.1220703125,-0.019775390625
0.02001953125,-0.019775390625,-1.00341796875,-0.06103515625,0.18310546875,0.01806640625,-0.019775390625
