AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Avg_Temperature_C
1.0299803931216806e+30,-0.003906338941305876,-1.6615472750963346e+35,-4.2351955334012415e-22,8.715240680931519e+29,-0.003906338941305876,1.7430289444889174e+30
0.003906278870999813,-7.450715600043623e-08,-1.323498761960069e-23,-0.003906338009983301,1.661572628108339e+35,-4.656697250027264e-09,1.7430289444889174e+30
-1.323498761960069e-23,1.661572430037933e+35,-2.7022005786116096e+16,-1.6615472750963346e+35,-1.694104062754639e-21,8.715240680931519e+29,1.7430289444889174e+30
1.6615728261787454e+35,-8.149177443961264e-10,-8.470392076544442e-22,4.753761153037081e+29,0.003906338941305876,0.0039063384756445885,1.7430289444889174e+30
-1.0430856889342977e-07,8.688050478813866e-44,-1.661534994731145e+35,2.6484540975739043e-43,-1.0339757656912846e-25,2.3768734363004185e+30,1.7430289444889174e+30
-6.352843534764307e-22,-2.9802997403294285e-08,1.1884282934484038e+29,1.6615728261787454e+35,1.6615470770259283e+35,-1.7462563339787351e-10,1.7430289444889174e+30
-1.8626589159964624e-09,4.1199215724867223e+30,-0.003906338941305876,-6.352843534764307e-22,-2.328359172132366e-10,3.486057888977835e+30,1.7430289444889174e+30
-1.6615728261787454e+35,1.6615472750963346e+35,-1.0842267294099396e-19,1.1092085556359449e+30,2.4652352326998633e-31,-6.352778911278951e-22,1.7430289444889174e+30
-2.980249860229378e-07,-2.1175980191361104e-22,-6.352842525022348e-22,-6.352778406407972e-22,-5.457050610002678e-12,-1.0587990095680552e-22,1.7430289444889174e+30
1.661572430037933e+35,-4.8901250173104277e-36,2.4652051400444823e-31,-8.271994466071398e-25,5.070716644402871e+30,6.352843534764307e-22,1.7430289444889174e+30
-2.7940101343659762e-09,-8.673681486381508e-19,5.942183590751046e+29,0.003906338941305876,-2.702173090820915e+16,-5.215473919406577e-08,1.7430289444889174e+30
1.2676599694033314e+30,-2.7022007933599744e+16,-1.661572628108339e+35,-5.215428444671488e-08,-5.16991703890652e-26,4.3576203404657596e+29,1.7430289444889174e+30
6.770072673044875e+25,-2.70217330556928e+16,-1.4901498701647142e-08,1.0299707972729874e+30,1.6615728261787454e+35,-6.352777901536992e-22,1.7430289444889174e+30
-3.25964277791968e-09,-4.235196038272221e-22,8.715240680931519e+29,-6.352843534764307e-22,8.688050478813866e-44,-1.4901161193847656e-08,1.7430289444889174e+30
